signal_date,crack_spread_usd_per_bbl,spread_90d_mean_usd_per_bbl,spread_90d_std_usd_per_bbl,spread_z_score,forward_spread_usd_per_bbl,forward_change_usd_per_bbl,spread_lower_after_forward_window,closer_to_pre_signal_mean
2015-07-09,27.7960,22.8845,1.9439,2.5266,23.2520,-4.5440,True,True
2015-08-11,26.6660,22.9656,1.6553,2.2355,18.3380,-8.3280,True,False
2016-02-18,18.9860,14.1415,1.5898,3.0472,11.0420,-7.9440,True,True
2016-04-26,19.3740,14.0293,2.3749,2.2505,18.8520,-0.5220,True,True
2016-09-16,19.8340,14.0785,1.8868,3.0504,14.5680,-5.2660,True,True
2016-11-02,19.5280,13.8029,1.4866,3.8512,16.6240,-2.9040,True,True
2016-12-27,18.7620,15.1260,1.5377,2.3645,13.2180,-5.5440,True,True
2017-07-14,18.4860,15.5455,1.4029,2.0960,19.7480,1.2620,False,False
2017-07-25,19.0520,16.0248,1.4982,2.0205,19.8440,0.7920,False,False
2017-07-28,19.6640,16.2020,1.5089,2.2944,22.8540,3.1900,False,False
2017-08-24,23.4320,16.9758,2.0943,3.0827,23.9960,0.5640,False,False
2018-05-16,22.3980,17.4446,1.9648,2.5211,20.2540,-2.1440,True,True
2018-05-31,22.8020,17.8828,2.4392,2.0167,14.9880,-7.8140,True,True
2019-03-01,21.9260,16.4635,1.7484,3.1244,18.6580,-3.2680,True,True
2019-03-08,20.8240,16.5440,1.8819,2.2743,21.2920,0.4680,False,False
2019-03-19,21.1980,16.7714,2.1357,2.0726,22.7900,1.5920,False,False
2019-03-21,21.3600,16.8616,2.2243,2.0224,23.5780,2.2180,False,False
2019-04-10,22.5860,17.2782,2.6133,2.0311,20.6420,-1.9440,True,True
2019-04-18,23.5780,17.6814,2.9296,2.0128,21.9580,-1.6200,True,True
2020-04-20,65.6240,13.8353,3.7978,13.6367,8.6020,-57.0220,True,True
2020-12-17,12.3220,10.1945,0.9486,2.2428,13.6860,1.3640,False,False
2020-12-23,12.6100,10.3306,0.9758,2.3359,14.2240,1.6140,False,False
2020-12-29,12.6020,10.4221,1.0351,2.1061,15.4300,2.8280,False,False
2021-01-05,13.0940,10.4889,1.0857,2.3995,15.2260,2.1320,False,False
2021-01-21,13.7800,10.9104,1.3849,2.0720,16.9280,3.1480,False,False
2021-02-16,15.6560,11.5674,1.9135,2.1367,21.7700,6.1140,False,False
2021-02-19,16.9280,11.6932,2.0523,2.5507,16.9980,0.0700,False,False
2021-05-12,23.9760,17.6023,3.1107,2.0490,20.4080,-3.5680,True,True
2021-08-05,25.0500,20.4884,1.8622,2.4496,25.8720,0.8220,False,False
2021-08-09,25.3360,20.6190,1.9418,2.4292,25.0580,-0.2780,True,True
2021-09-03,26.3500,21.4841,2.4075,2.0211,24.0020,-2.3480,True,True
2022-01-27,25.0620,22.0013,1.3714,2.2319,26.4240,1.3620,False,False
2022-02-07,25.8880,22.2094,1.4864,2.4748,41.0420,15.1540,False,False
2022-02-24,27.0140,22.5069,1.8835,2.3929,37.3780,10.3640,False,False
2022-03-01,31.3140,22.5333,1.9329,4.5427,34.6300,3.3160,False,False
2022-03-17,34.1040,23.6993,3.9841,2.6115,41.9520,7.8480,False,False
2022-03-31,37.1180,25.2494,5.2308,2.2690,56.2700,19.1520,False,False
2022-04-04,40.2100,25.5872,5.4075,2.7042,65.9320,25.7220,False,False
2022-04-13,42.0680,27.0355,6.3208,2.3783,75.7240,33.6560,False,False
2022-04-20,42.3120,27.9327,6.7937,2.1166,57.8400,15.5280,False,False
2022-04-25,50.6760,28.5684,7.0943,3.1162,53.1720,2.4960,False,False
2022-10-14,63.7420,46.4633,8.4327,2.0490,60.0600,-3.6820,True,True
2022-10-18,63.3460,46.4062,8.3017,2.0405,48.3420,-15.0040,True,True
2022-10-26,63.1400,46.3658,8.2495,2.0334,42.3400,-20.8000,True,True
2022-11-03,66.2800,46.4700,8.6022,2.3029,34.1060,-32.1740,True,True
2022-11-10,65.4640,46.9480,9.2539,2.0009,29.3520,-36.1120,True,True
2023-06-09,41.1120,34.6483,2.8578,2.2618,35.8000,-5.3120,True,True
2023-08-01,42.4040,35.8081,3.1640,2.0847,43.6560,1.2520,False,False
2023-08-09,44.2680,35.9526,3.3261,2.5000,39.4940,-4.7740,True,True
2023-08-16,44.1780,36.4106,3.7397,2.0770,43.8360,-0.3420,True,True
2023-08-25,47.7700,36.9014,4.1845,2.5973,33.2680,-14.5020,True,True
2025-01-30,21.9880,18.9753,1.3732,2.1939,16.8580,-5.1300,True,True
2025-02-03,22.2960,19.0756,1.3883,2.3197,18.9460,-3.3500,True,True
2025-05-21,24.6960,20.3781,2.0098,2.1484,25.9480,1.2520,False,False
2025-06-18,25.3860,20.5339,2.1319,2.2760,26.9220,1.5360,False,False
2025-06-30,25.6940,20.6179,2.2768,2.2295,27.5060,1.8120,False,False
2025-07-07,25.7320,20.7470,2.4541,2.0313,24.6640,-1.0680,True,True
2025-07-15,27.3700,21.3181,2.6933,2.2470,26.0520,-1.3180,True,True
2025-07-23,28.4780,21.8950,2.9378,2.2408,28.2520,-0.2260,True,True
2025-08-28,30.5060,24.1862,2.9804,2.1204,25.2140,-5.2920,True,True
2025-11-06,30.5780,26.1357,1.7066,2.6030,24.3440,-6.2340,True,True
2025-11-10,30.0040,26.2346,1.8022,2.0916,24.3920,-5.6120,True,True
2026-03-02,37.8040,27.4205,3.0141,3.4450,53.5380,15.7340,False,False
2026-03-10,40.6940,28.2716,4.1853,2.9681,43.4380,2.7440,False,False
2026-04-22,55.5440,34.4706,10.0953,2.0874,54.5780,-0.9660,True,True
